,Id,LotFrontage,LotArea,OverallQual,YearBuilt,ExterQual,BsmtQual,TotalBsmtSF,GrLivArea,AllBathNum,TotRmsAbvGrd,SalePrice
0,1,65.0,8450,7,2003,Gd,Gd,856,1710,3.5,8,208500
1,2,80.0,9600,6,1976,TA,Gd,1262,1262,2.5,6,181500
2,3,68.0,11250,7,2001,Gd,Gd,920,1786,3.5,6,223500
3,4,60.0,9550,7,1915,TA,TA,756,1717,2.0,7,140000
4,5,84.0,14260,8,2000,Gd,Gd,1145,2198,3.5,9,250000
5,6,85.0,14115,5,1993,TA,Gd,796,1362,2.5,5,143000
6,7,75.0,10084,8,2004,Gd,Ex,1686,1694,3.0,7,307000
7,8,70.04995836802665,10382,7,1973,TA,Gd,1107,2090,3.5,7,200000
8,9,51.0,6120,7,1931,TA,TA,952,1774,2.0,8,129900
9,10,50.0,7420,5,1939,TA,TA,991,1077,2.0,5,118000
10,11,70.0,11200,5,1965,TA,TA,1040,1040,2.0,5,129500
11,12,85.0,11924,9,2005,Ex,Ex,1175,2324,4.0,11,345000
12,13,70.04995836802665,12968,5,1962,TA,TA,912,912,2.0,4,144000
13,14,91.0,10652,7,2006,Gd,Gd,1494,1494,2.0,7,279500
14,15,70.04995836802665,10920,6,1960,TA,TA,1253,1253,2.5,5,157000
15,16,51.0,6120,7,1929,TA,TA,832,854,1.0,5,132000
16,17,70.04995836802665,11241,6,1970,TA,TA,1004,1004,2.0,5,149000
17,18,72.0,10791,4,1967,TA,,0,1296,2.0,6,90000
18,19,66.0,13695,5,2004,TA,TA,1114,1114,2.5,6,159000
19,20,70.0,7560,5,1958,TA,TA,1029,1339,1.0,6,139000
20,21,101.0,14215,8,2005,Gd,Ex,1158,2376,3.5,9,325300
21,22,57.0,7449,7,1930,TA,TA,637,1108,1.0,6,139400
22,23,75.0,9742,8,2002,Gd,Gd,1777,1795,2.0,7,230000
23,24,44.0,4224,5,1976,TA,Gd,1040,1060,2.0,6,129900
24,25,70.04995836802665,8246,5,1968,TA,TA,1060,1060,2.0,6,154000
25,26,110.0,14230,8,2007,Gd,Gd,1566,1600,2.0,7,256300
26,27,60.0,7200,5,1951,TA,TA,900,900,1.5,5,134800
27,28,98.0,11478,8,2007,Gd,Ex,1704,1704,3.0,7,306000
28,29,47.0,16321,5,1957,TA,TA,1484,1600,2.0,6,207500
29,30,60.0,6324,4,1927,TA,TA,520,520,1.0,4,68500
30,31,50.0,8500,4,1920,TA,TA,649,1317,1.0,6,40000
31,32,70.04995836802665,8544,5,1966,TA,TA,1228,1228,1.5,6,149350
32,33,85.0,11049,8,2007,Gd,Ex,1234,1234,2.0,7,179900
33,34,70.0,10552,5,1959,TA,TA,1398,1700,2.0,6,165500
34,35,60.0,7313,9,2005,Ex,Ex,1561,1561,3.0,6,277500
35,36,108.0,13418,8,2004,Gd,Ex,1117,2452,3.5,9,309000
36,37,112.0,10859,5,1994,TA,Gd,1097,1097,1.5,6,145000
37,38,74.0,8532,5,1954,TA,TA,1297,1297,1.5,5,153000
38,39,68.0,7922,5,1953,TA,TA,1057,1057,2.0,5,109000
39,40,65.0,6040,4,1955,TA,,0,1152,2.0,6,82000
40,41,84.0,8658,6,1965,TA,TA,1088,1324,2.0,6,160000
41,42,115.0,16905,5,1959,TA,TA,1350,1328,2.0,5,170000
42,43,70.04995836802665,9180,5,1983,TA,Gd,840,884,2.0,5,144000
43,44,70.04995836802665,9200,5,1975,TA,Gd,938,938,2.0,5,130250
44,45,70.0,7945,5,1959,TA,TA,1150,1150,2.0,6,141000
45,46,61.0,7658,9,2005,Ex,Ex,1752,1752,3.0,6,319900
46,47,48.0,12822,7,2003,Gd,Ex,1434,2149,2.5,6,239686
47,48,84.0,11096,8,2006,Gd,Gd,1656,1656,2.0,7,249700
48,49,33.0,4456,4,1920,TA,TA,736,1452,2.0,8,113000
49,50,66.0,7742,5,1966,TA,TA,955,955,2.0,6,127000
50,51,70.04995836802665,13869,6,1997,TA,Gd,794,1470,2.5,6,177000
51,52,52.0,6240,6,1934,TA,TA,816,1176,1.0,6,114500
52,53,110.0,8472,5,1963,Fa,Gd,816,816,2.0,5,110000
53,54,68.0,50271,9,1981,Gd,Ex,1842,1842,2.5,5,385000
54,55,60.0,7134,5,1955,TA,TA,384,1360,1.0,6,130000
55,56,100.0,10175,6,1964,TA,TA,1425,1425,2.0,7,180500
56,57,24.0,2645,8,1999,Gd,Gd,970,1739,3.5,7,172500
57,58,89.0,11645,7,2004,Gd,Gd,860,1720,2.5,7,196500
58,59,66.0,13682,10,2006,Ex,Ex,1410,2945,3.5,10,438780
59,60,60.0,7200,5,1972,TA,TA,780,780,1.0,4,124900
60,61,63.0,13072,6,2004,TA,Gd,1158,1158,2.5,5,158000
61,62,60.0,7200,5,1920,TA,TA,530,1111,1.0,6,101000
62,63,44.0,6442,8,2006,Gd,Gd,1370,1370,2.0,6,202500
63,64,50.0,10300,7,1921,TA,TA,576,1710,2.0,9,140000
64,65,70.04995836802665,9375,7,1997,TA,Gd,1057,2034,3.5,8,219500
65,66,76.0,9591,8,2004,Gd,Ex,1143,2473,2.5,9,317000
66,67,70.04995836802665,19900,7,1970,TA,Gd,1947,2207,3.0,7,180000
67,68,72.0,10665,7,2003,Gd,Gd,1453,1479,3.0,7,226000
68,69,47.0,4608,4,1945,TA,TA,747,747,1.0,4,80000
69,70,81.0,15593,7,1953,Gd,TA,1304,2287,2.0,7,225000
70,71,95.0,13651,7,1973,TA,Gd,2223,2223,3.0,8,244000
71,72,69.0,7599,4,1982,TA,TA,845,845,2.0,4,129500
72,73,74.0,10141,7,1998,TA,Gd,832,1718,2.5,7,185000
73,74,85.0,10200,5,1954,TA,TA,1086,1086,2.0,6,144900
74,75,60.0,5790,3,1915,Gd,Fa,840,1605,2.0,8,107400
75,76,21.0,1596,4,1973,TA,Gd,462,988,2.0,5,91000
76,77,70.04995836802665,8475,4,1956,TA,TA,952,952,1.0,4,135750
77,78,50.0,8635,5,1948,TA,TA,672,1285,2.0,6,127000
78,79,72.0,10778,4,1968,TA,TA,1768,1768,2.0,8,136500
79,80,60.0,10440,5,1910,TA,TA,440,1230,1.5,5,110000
80,81,100.0,13000,6,1968,TA,Gd,896,2142,2.5,8,193500
81,82,32.0,4500,6,1998,TA,Ex,1237,1337,3.0,5,153500
82,83,78.0,10206,8,2007,TA,Gd,1563,1563,2.0,6,245000
83,84,80.0,8892,5,1960,TA,TA,1065,1065,1.5,6,126500
84,85,70.04995836802665,8530,7,1995,TA,Gd,384,1474,2.5,7,168500
85,86,121.0,16059,8,1991,Gd,Gd,1288,2417,2.5,9,260000
